minecraft:ancient_city | entity=minecraft:warden
minecraft:bastion_remnant | entity=minecraft:hoglin
minecraft:end_city | entity=minecraft:shulker
minecraft:fortress | entity=minecraft:blaze
minecraft:mineshaft | entity=minecraft:cave_spider
minecraft:monster_room | entity=minecraft:skeleton
minecraft:ocean_monument | entity=minecraft:elder_guardian
minecraft:ocean_ruins | entity=minecraft:drowned
minecraft:pillager_outpost | entity=minecraft:pillager
minecraft:stronghold | entity=minecraft:silverfish
minecraft:swamp_hut | entity=minecraft:witch
minecraft:trial_chambers | entity=minecraft:breeze
minecraft:woodland_mansion | entity=minecraft:evoker
minecraft:desert_pyramid | block_entity=minecraft:trapped_chest
minecraft:village | block_entity=minecraft:blast_furnace
minecraft:amethyst_geode | block=minecraft:amethyst_block
minecraft:bee_nest | block=minecraft:bee_nest
minecraft:beehive | block=minecraft:beehive
minecraft:buried_treasure | block=minecraft:sand
minecraft:fossil | block=minecraft:coal_ore
minecraft:home | block=minecraft:bed
minecraft:igloo | block=minecraft:ice
minecraft:jungle_pyramid | block=minecraft:lever
minecraft:lightning_rod | block=minecraft:lightning_rod
minecraft:lodestone | block=minecraft:lodestone
minecraft:meeting | block=minecraft:bell
minecraft:nether_fossil | block=minecraft:soul_soil
minecraft:nether_portal | block=minecraft:nether_portal
minecraft:ruined_portal_nether | block=minecraft:blackstone, block=minecraft:crying_obsidian
minecraft:ruined_portal_overworld | block=minecraft:netherrack
minecraft:shipwreck | block=minecraft:oak_trapdoor
minecraft:test_instance | block=minecraft:test_instance_block
minecraft:trail_ruins | block=minecraft:glazed_terracotta
minecraft:desert_well | y=62..78@67
